competition_name,distance,date,competition_type,location,ligue,department,type,level,Nombre_Coureur,ligue1
34ème cross d'aubagne,"1450.0, 1940.0, 2670.0, 3680.0, 4690.0, 5540.0, 6550.0, 8410.0, 9260.0",24/11/24,Cross,Aubagne,PCA,13.0,Meet,Régional,716,
Championnats départementaux 04 & 05 de cross,"10043.0, 2297.0, 3640.0, 4852.0, 6862.0",06/01/24,Cross,Les mees,PCA,4.0,,Départemental,148,
Championnats départementaux de cross du var,"2470.0, 3060.0, 3747.0, 3749.0, 4220.0, 6220.0, 9540.0",14/01/24,Cross,Ollieres,PCA,83.0,,Départemental,643,
Championnats départementaux de cross-country 2023-2024,"1500.0, 2550.0, 2850.0, 3150.0, 3700.0, 4050.0, 4550.0, 5900.0, 6000.0, 7050.0, 7950.0, 8100.0",13/01/24,Cross,Opio,PCA,6.0,,Départemental,821,
Championnats genevois de cross (sui),5000.0,10/02/24,Cross,Collonges bellerive (SUI),,0.0,Cham,Régional,7,
Course du souffle parc pastre,"13000.0, 7000.0",29/09/24,Cross,Marseille,PCA,13.0,Meet,Départemental,125,
Cross 1/2 finale région sud/ inter comités minimes,"4170.0, 4694.0, 5620.0, 7094.0, 8020.0, 9957.0",11/02/24,Cross,Fos sur mer,PCA,13.0,,Interrégional,1005,
Cross 1/4 finale région sud,"2690.0, 3665.0, 4095.0, 5095.0, 6500.0, 7500.0, 8930.0",28/01/24,Cross,Serres,PCA,5.0,Meet,Régional,752,
Cross de la seyne,"1260.0, 2020.0, 2650.0, 3030.0, 3620.0, 4250.0, 500.0, 6230.0, 6850.0, 8840.0",10/11/24,Cross,La seyne sur mer,PCA,83.0,Meet,Régional,671,
Cross des iles,"1000.0, 1400.0, 2100.0, 2800.0, 3000.0, 3500.0, 4800.0, 8500.0, 9500.0",01/12/24,Cross,Cannes,PCA,6.0,Meet,Régional,1274,
Départementaux 13 de cross,"1450.0, 2630.0, 3450.0, 3460.0, 4050.0, 5250.0, 7130.0, 8520.0, 8550.0",14/01/24,Cross,Marignane,PCA,13.0,,Départemental,888,
Kids cross,800.0,14/01/24,Cross,Marignane,PCA,13.0,Anim,Départemental,145,
Sirikwa cross country classics (ken),10000.0,03/02/24,Cross,Eldoret (KEN),,0.0,Meet,National,4,
