rank,time,athlete,club,category,distance,competition_date,competition_type,competition_name,location,ligue,department,type,level
1,9:32,GAUGLER Maxime,,MIM/09,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
2,9:41,TSCHAMBSER Arthur,1778564,MIM/10,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
3,9:45,HOUGLET Matheo,,MIM/09,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
4,10:06,LOMBARDI Chiara,2414204,MIF/09,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
5,10:29,ZEHLER Quentin,,BEM/12,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
6,10:35,DI BATTISTA Charli,2361936,BEM/12,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
7,10:55,BASS Matthieu,2064967,BEM/11,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
8,11:01,BENDJELIDA Niels,2284053,BEM/11,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
9,11:03,BOURBON Raphael,,MIM/10,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
10,11:04,BOURBON Nathan,,BEM/12,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
11,11:07,SCHAFFNER Mael,,MIM/10,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
12,11:08,MONNIER Martin,2448894,BEM/12,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
13,11:11,KELLER Mathis,2204697,BEM/12,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
14,11:15,MOUROT Gabin,MBA - S/L BELFORT ATHLE,MIM/09,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
15,11:18,FERRARI Matheo,2377765,BEM/11,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
16,11:20,ISSENLOR Martin,,BEM/12,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
17,11:26,WERNERT Julien,,BEM/11,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
18,11:36,ROUSSET Lois,,BEM/12,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
19,11:57,FERREIRA Lois,1905940,MIM/10,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
20,12:07,DJELLALI Mohamed-Zeyn,,MIM/10,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
21,12:37,GRISWARD Thibaut,,BEM/12,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
22,12:52,PFUNDSTEIN Margot,2415817,MIF/10,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
23,13:06,DEYBACH Clemence,2173829,MIF/10,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
24,13:18,PARMENTIER Axel,,MIM/09,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
25,13:37,HECKLEN Achille,,MIM/10,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
26,13:53,DAYA Nahel,,BEM/12,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
27,14:10,CARTADE Celeste,2215797,BEF/11,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
28,14:43,GRAFF Lucas,,MIM/10,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
29,15:31,BUECHER Arthur,,MIM/09,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
30,15:55,MAGINOT Sarah,,BEF/11,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
1,20:33,ATSE-HERRERA Jonathan (CIV),Entente De Haute Alsace*,M0M/87,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
2,20:42,OESTERLE Cedric,Running Team Schweighouse/mode,M0M/85,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
3,21:39,PASTOR Fabien,,SEM/91,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
4,21:44,ROUSSET Martin,,M0M/87,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
5,21:49,REMUSON Denis,Entente Grand Mulhouse Athle*,M0M/86,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
6,22:02,MANN Jeremy,Pays De Colmar Athletisme*,M0M/88,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
7,22:35,KREBS Joffrey,,SEM/92,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
8,22:38,MISCHEL Jerome,Pays De Colmar Athletisme*,M0M/87,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
9,23:03,KOCH Axel,,ESM/04,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
10,23:08,FABING Gaetan,,M0M/89,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
11,23:23,KREIDER Leo,Entente De Haute Alsace*,CAM/08,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
12,23:24,WEISENHORN Allan,Ac Huningue,M0M/89,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
13,23:31,LOCHER Michael,Entente De Haute Alsace*,M0M/89,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
14,23:42,KETTLER Edouard,,M0M/87,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
15,24:07,ZEHLER Fabrice,,M0M/86,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
16,24:09,DUBOIS David,Entente Grand Mulhouse Athle*,M1M/82,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
17,24:10,SCHAFFNER Frederic,,M1M/80,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
18,24:17,REBER Damien,,SEM/91,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
19,24:29,MILADI Abdallah,,M1M/83,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
20,24:33,LOETSCHER Matthieu,,M0M/88,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
21,24:45,OLHAUSEN Philippe,,M2M/78,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
22,24:46,MAGINOT Pascal,,M1M/81,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
23,25:03,LIBOLD Leo,,CAM/07,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
24,25:03,GHIMBEU Cristian,,CAM/07,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
25,25:08,BURGUNDER Thomas,,M0M/86,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
26,25:08,COUSSON Albin,,SEM/00,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
27,25:11,CHALLA Noe,,JUM/06,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
