results_url,competition_date,competition_family,competition_name,location,ligue,department,type,level
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=021836,12/12/1993,Hors St,8 ème corrida dans dijon,Dijon,,021,Meet,Dép
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=021766,21/03/1993,Hors St,Semi-marathon de chalon,Chalon sur saone,,071,Meet,Rég
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=021767,27/03/1993,Hors St,Semi-marathon d'auxerre,Auxerre,,089,Meet,Rég
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=021768,04/04/1993,Hors St,Semi-marathon de dijon,Dijon,,021,Meet,Rég
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=021769,17/04/1993,Hors St,Semi-marathon de guerigny - ch bourgogne semi,Guerigny,,058,,Rég
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=021770,03/10/1993,Hors St,Marathon de la moutarde,Dijon,,021,Meet,Rég
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=021771,16/10/1993,Hors St,La foulée des vendanges,Savigny les beaune,,021,Meet,Rég
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=021772,23/10/1993,Hors St,La foulée des 3 rivières - 10 km,Is sur tille,,021,Meet,Rég
results_url,competition_date,competition_family,competition_name,location,ligue,department,type,level
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=021836,12/12/1993,Hors St,8 ème corrida dans dijon,Dijon,,021,Meet,Dép
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=021766,21/03/1993,Hors St,Semi-marathon de chalon,Chalon sur saone,,071,Meet,Rég
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=021767,27/03/1993,Hors St,Semi-marathon d'auxerre,Auxerre,,089,Meet,Rég
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=021768,04/04/1993,Hors St,Semi-marathon de dijon,Dijon,,021,Meet,Rég
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=021769,17/04/1993,Hors St,Semi-marathon de guerigny - ch bourgogne semi,Guerigny,,058,,Rég
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=021770,03/10/1993,Hors St,Marathon de la moutarde,Dijon,,021,Meet,Rég
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=021771,16/10/1993,Hors St,La foulée des vendanges,Savigny les beaune,,021,Meet,Rég
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=021772,23/10/1993,Hors St,La foulée des 3 rivières - 10 km,Is sur tille,,021,Meet,Rég
