date,name,submitted_by,result_url,course_url
25/02/2024,EnVol-Lez-vous Montpellier - 5 km 2024,Sylvanito,http://https://https://www.envolez-vous.info/images/uploads/envolez-vous_2024_-_classement_general.pdf,https://www.kikourou.net/calendrier/course-201281-envol-lez-vous_montpellier_-_5_km-2024.html
25/02/2024,EnVol-Lez-vous Montpellier - 11 km 2024,Sylvanito,http://https://www.envolez-vous.info/images/uploads/envolez-vous_2024_-_classement_general.pdf,https://www.kikourou.net/calendrier/course-201280-envol-lez-vous_montpellier_-_11_km-2024.html
01/12/2024,Nature Marathon Man - 42.195 km 2024,Sylvanito,http://https://www.3wsport.com/data/ftp/results/Nature-MarathonMan-2024_Marathon.html,https://www.kikourou.net/calendrier/course-211874-nature_marathon_man_-_42.195_km-2024.html
01/12/2024,Nature Marathon Man - 10 km 2024,Sylvanito,http://https://www.3wsport.com/data/ftp/results/Nature-MarathonMan-2024_10-km.html,https://www.kikourou.net/calendrier/course-211876-nature_marathon_man_-_10_km-2024.html
01/12/2024,Nature Marathon Man - 24 km 2024,Sylvanito,http://https://www.3wsport.com/data/ftp/results/Nature-MarathonMan-2024_Semi-Plus.html,https://www.kikourou.net/calendrier/course-211875-nature_marathon_man_-_24_km-2024.html
06/10/2024,10 km de La Cité des Papes 2024,Sylvanito,http://https://www.nikrome.com/fichiers/PDF/papes24.pdf,https://www.kikourou.net/calendrier/course-209630-10_km_de_la_citn_des_papes-2024.html
06/10/2024,5 km de La Cité des Papes 2024,Sylvanito,http://https://www.nikrome.com/fichiers/PDF/papes24.pdf,https://www.kikourou.net/calendrier/course-209631-5_km_de_la_citn_des_papes-2024.html
20/10/2024,Les Foulées du Parc - 10 km 2024,Sylvanito,http://https://ats-sport.com/resultats_epreuve.php?epreuve=8359&parcours=21604,https://www.kikourou.net/calendrier/course-210200-les_fouln_es_du_parc_-_10_km-2024.html
20/10/2024,Les Foulées du Parc - 5 km 2024,Sylvanito,http://https://ats-sport.com/resultats_epreuve.php?epreuve=8359&parcours=21605,https://www.kikourou.net/calendrier/course-210201-les_fouln_es_du_parc_-_5_km-2024.html
10/08/2024,Trail des Etoiles Filantes - 30 kms 2024,Sylvanito,http://https://www.3wsport.com/data/ftp/results/Trail-des-Etoiles-Filantes-2024_30-km.html,https://www.kikourou.net/calendrier/course-213797-trail_des_etoiles_filantes_-_30_kms-2024.html
25/07/2024,Les Foulées du Vidourle - 10km 2024,Sylvanito,http://https://www.triathlongrandemotte.com/wp-content/uploads/2024/07/Resultats-10km.pdf,https://www.kikourou.net/calendrier/course-213795-les_fouln_es_du_vidourle_-_10km-2024.html
