results_url,competition_date,competition_type,competition_name,location,ligue,department,type,level
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=283836,06/01,Cross,Cross banana fit,Wittenheim,G-E,068,Meet,Dép
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=287815,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,076,Meet,Dép
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=288234,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,046,Meet,Dép
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=288241,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,004,,Dép
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=288664,06/01,Cross,Cd60 - kid's cross compiègne,Compiegne,H-F,060,Anim,Dép
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=284011,07/01,Cross,Départementaux de cross à riom - 63 -,Riom,ARA,063,,Dép
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=284524,07/01,Cross,Championnats 54 55 de cross,Dombasle sur meurthe,G-E,054,,Dép
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=283162,07/01,Cross,Cross de bayel,Bayel,G-E,010,Cham,Dép
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=285423,07/01,Cross,Championnats départementaux de cross country,Issoudun,CEN,036,Meet,Dép
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=286229,07/01,Cross,Championnats départementaux de cross,Saint laurent sur sevre,P-L,085,,Dép
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=287016,07/01,Cross,Championnat des ardennes de cross,Vrigne aux bois,G-E,008,,Dép
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=287470,07/01,Cross,Championnat de la vienne de cross country,Poitiers,N-A,086,Cham,Dép
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=288023,07/01,Cross,Championnat departemental de cross,Grand champ,BRE,056,,Dép
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=286467,07/01,Cross,Championnats du bas-rhin de cross,Selestat,G-E,067,,Dép
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=286627,07/01,Cross,Championnats départementaux de cross-country,Saint vulbas,ARA,001,,Dép
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=286870,07/01,Cross,Championnats drôme ardèche de relais cross,Bourg saint andeol,ARA,007,Cham,Dép
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=287045,07/01,Cross,Championnats des vosges de cross,Mattaincourt,G-E,088,,Dép
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=287367,07/01,Cross,Championnats départementaux cross,Langres,G-E,052,Meet,Dép
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=287639,07/01,Cross,Championnat départemental de cross,Saint pardoux,N-A,087,Cham,Dép
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=288030,07/01,Cross,Championnat de moselle,Yutz,G-E,057,,Dép
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=288448,07/01,Cross,Championnats de l'ain de cross jeunes,Saint vulbas,ARA,001,,Dép
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=288221,07/01,Cross,Cross de la loire sauvage,Brives charensac,ARA,043,Meet,Dép
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=288815,07/01,Cross,Le retour des loups,Bruyeres et montberault,H-F,002,Meet,Dép
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=289227,12/01,Cross,Cross des uniformes de normandie,Le havre,NOR,076,Meet,Dép
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=285034,13/01,Cross,Departementaux de cross,Alencon,NOR,061,Cham,Dép
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=285932,13/01,Cross,Kids cross eveils,Eu,NOR,076,Anim,Dép
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=284479,13/01,Cross,Départementaux cross long,Soues,OCC,065,,Dép
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=285934,13/01,Cross,Kid cross eveils,Barentin,NOR,076,Anim,Dép
