results_url,competition_date,competition_type,competition_name,location,ligue,department,type,level
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=288813,06/01,Cross,Championnat de cross guyane,Matoury,GUY,973,,Rég
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=285448,21/01,Cross,Championnats large de cross,Sarrebourg,G-E,057,,Rég
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=285801,28/01,Cross,Cross 1/4 finale région sud,Serres,PCA,005,Meet,Rég
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=281374,28/01,Cross,Championnats régionaux de cross-country - île-de-france ,Aulnay sous bois,I-F,093,Cham,Rég
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=286232,28/01,Cross,Championnats vallée du rhône de cross-country,Valence,ARA,026,Cham,Rég
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=281375,28/01,Cross,Championnats régionaux de cross-country - ile de france ,Clamart,I-F,092,,Rég
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=282727,28/01,Cross,Championnats régionaux de cross,Belfort,BFC,090,,Rég
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=286228,28/01,Cross,Championnats loire & volcans de cross country,Yzeure,ARA,003,,Rég
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=286815,28/01,Cross,1/4 finale des chpts de france de cross zone est,Ales,OCC,030,Cham,Rég
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=286160,28/01,Cross, 1/4 de finale des championnats de france de cross,Saran,CEN,045,,Rég
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=288090,28/01,Cross,1/4 de finale zone sud,Capbreton,N-A,040,,Rég
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=289192,28/01,Cross,Championnat de bretagne de cross country,Merdrignac,BRE,022,,Rég
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=288089,28/01,Cross,1/4 de finales zone nord,Montendre,N-A,017,,Rég
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=286233,28/01,Cross,Championnats alpes de cross-country,L'isle d'abeau,ARA,038,Cham,Rég
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=286813,28/01,Cross,1/4 finale des chpts de france de cross zone ouest,Lau balagnas,OCC,065,Cham,Rég
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=285988,04/02,Cross,1/4 finale des championnats de france de cross-country,Le mesnil sous jumieges,NOR,076,,Rég
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=286981,04/02,Cross,1/4 de finale des championnats de france u14-u16-u18-u20,Pontchateau,P-L,044,,Rég
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=290246,10/02,Cross,Championnats genevois de cross (sui),Collonges bellerive (SUI),,,Cham,Rég
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=286163,11/02,Cross,Championnats régionaux de relais cross,Vineuil,CEN,041,Cham,Rég
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=279336,25/02,Cross,52ème cross du tour du lac de saint ferreol,Revel,OCC,031,Meet,Rég
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=298577,20/10,Cross,19eme cross de la cigogne,Le lamentin,MAR,972,Meet,Rég
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=282880,02/11,Cross,Cross country de tergnier,Tergnier,H-F,002,Meet,Rég
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=284745,03/11,Cross,Cross du comité,Lomme,H-F,059,Meet,Rég
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=279619,10/11,Cross,Cross de l'erduriere,Coueron,P-L,044,Meet,Rég
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=285102,10/11,Cross,46ème challenge international de cross jean-vidal,Lescure d'albigeois,OCC,081,Meet,Rég
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=280717,10/11,Cross,Cross de la seyne,La seyne sur mer,PCA,083,Meet,Rég
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=283825,10/11,Cross,Cross de la bachasse,Sainte foy les lyon,ARA,069,Meet,Rég
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=299658,10/11,Cross,Cross de la jsf,Le francois,MAR,972,Meet,Rég
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=288633,10/11,Cross,Cross du val d'essonne,Mennecy,I-F,091,Meet,Rég
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=280756,11/11,Cross,Cross des terres noires,La roche sur yon,P-L,085,Meet,Rég
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=280964,17/11,Cross,Cross des jeunes de saint michel sport,Saint michel sur orge,I-F,091,Meet,Rég
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=284661,17/11,Cross,Cross d'ouverture de fourmies,Fourmies,H-F,059,Meet,Rég
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=285170,17/11,Cross,42ème cross du plan d'eau,Dompierre sur besbre,ARA,003,Meet,Rég
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=285692,17/11,Cross,Cross du bois de florimond,Harnes,H-F,062,Meet,Rég
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=286175,17/11,Cross,Cross de l' us saintes athlétisme,Saintes,N-A,017,Meet,Rég
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=299450,17/11,Cross,Championnats régionaux de relais cross u14-u16,Saran,CEN,045,Cham,Rég
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=300583,17/11,Cross,2nd cross de l'as fac,Le francois,MAR,972,Meet,Rég
