rank,time,athlete,club,category,competition_date,competition_type,competition_name,location,ligue,department,type,level,distance
,,,,,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
1,9:32,GAUGLER Maxime,,MIM/09,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
2,9:41,TSCHAMBSER Arthur,1778564,MIM/10,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
3,9:45,HOUGLET Matheo,,MIM/09,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
4,10:06,LOMBARDI Chiara,2414204,MIF/09,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
5,10:29,ZEHLER Quentin,,BEM/12,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
6,10:35,DI BATTISTA Charli,2361936,BEM/12,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
7,10:55,BASS Matthieu,2064967,BEM/11,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
8,11:01,BENDJELIDA Niels,2284053,BEM/11,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
9,11:03,BOURBON Raphael,,MIM/10,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
10,11:04,BOURBON Nathan,,BEM/12,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
11,11:07,SCHAFFNER Mael,,MIM/10,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
12,11:08,MONNIER Martin,2448894,BEM/12,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
13,11:11,KELLER Mathis,2204697,BEM/12,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
14,11:15,MOUROT Gabin,MBA - S/L BELFORT ATHLE,MIM/09,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
15,11:18,FERRARI Matheo,2377765,BEM/11,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
16,11:20,ISSENLOR Martin,,BEM/12,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
17,11:26,WERNERT Julien,,BEM/11,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
18,11:36,ROUSSET Lois,,BEM/12,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
19,11:57,FERREIRA Lois,1905940,MIM/10,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
20,12:07,DJELLALI Mohamed-Zeyn,,MIM/10,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
21,12:37,GRISWARD Thibaut,,BEM/12,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
22,12:52,PFUNDSTEIN Margot,2415817,MIF/10,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
23,13:06,DEYBACH Clemence,2173829,MIF/10,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
24,13:18,PARMENTIER Axel,,MIM/09,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
25,13:37,HECKLEN Achille,,MIM/10,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
26,13:53,DAYA Nahel,,BEM/12,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
27,14:10,CARTADE Celeste,2215797,BEF/11,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
28,14:43,GRAFF Lucas,,MIM/10,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
29,15:31,BUECHER Arthur,,MIM/09,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
30,15:55,MAGINOT Sarah,,BEF/11,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
1,20:33,ATSE-HERRERA Jonathan (CIV),Entente De Haute Alsace*,M0M/87,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
2,20:42,OESTERLE Cedric,Running Team Schweighouse/mode,M0M/85,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
3,21:39,PASTOR Fabien,,SEM/91,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
4,21:44,ROUSSET Martin,,M0M/87,06/01,Cross,Cross banana fit,Wittenheim,G-E,68,Meet,Dép,2500
