results_url,competition_date,competition_type,competition_name,location,ligue,department,type,level
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=283836,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=287815,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=288234,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=288241,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4.0,,Dép
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=288664,06/01,Cross,Cd60 - kid's cross compiègne,Compiegne,H-F,60.0,Anim,Dép
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=284011,07/01,Cross,Départementaux de cross à riom - 63 -,Riom,ARA,63.0,,Dép
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=284524,07/01,Cross,Championnats 54 55 de cross,Dombasle sur meurthe,G-E,54.0,,Dép
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=283162,07/01,Cross,Cross de bayel,Bayel,G-E,10.0,Cham,Dép
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=285423,07/01,Cross,Championnats départementaux de cross country,Issoudun,CEN,36.0,Meet,Dép
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=286229,07/01,Cross,Championnats départementaux de cross,Saint laurent sur sevre,P-L,85.0,,Dép
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=287016,07/01,Cross,Championnat des ardennes de cross,Vrigne aux bois,G-E,8.0,,Dép
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=287470,07/01,Cross,Championnat de la vienne de cross country,Poitiers,N-A,86.0,Cham,Dép
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=288023,07/01,Cross,Championnat departemental de cross,Grand champ,BRE,56.0,,Dép
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=286467,07/01,Cross,Championnats du bas-rhin de cross,Selestat,G-E,67.0,,Dép
https://bases.athle.fr/asp.net/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=286627,07/01,Cross,Championnats départementaux de cross-country,Saint vulbas,ARA,1.0,,Dép
