competition_name,distance,date,competition_type,location,ligue,department,type,level,Nombre_Coureur
 1/4 de finale des championnats de france de cross,"2460.0, 2830.0, 3830.0, 4760.0, 6130.0, 7060.0, 8800.0",28/01/24,Cross,Saran,CEN,45.0,,Rég,1157
1/2 de finale des championnats de france u16-u18-u20-u23,"10200.0, 3640.0, 4140.0, 5320.0, 6080.0, 7760.0",18/02/24,Cross,Challans,P-L,85.0,,Int,1998
1/2 finale de cross des hauts-de-france,"2310.0, 3590.0, 4260.0, 5190.0, 5540.0, 6560.0, 7260.0, 9210.0, 9560.0",18/02/24,Cross,Arras,H-F,62.0,,Int,1895
1/2 finale des championnats de france cross (i-f),"4050.0, 4482.0, 5187.0, 7060.0, 7492.0, 9797.0",18/02/24,Cross,Saint pierre les nemours,I-F,77.0,,Int,1887
1/2 finale des championnats de france de cross,"3560.0, 4360.0, 5460.0, 6720.0, 7980.0, 9700.0",18/02/24,Cross,Chateauvillain,G-E,52.0,,Int,1502
1/2 finale des championnats de france de cross country,"3930.0, 4290.0, 5410.0, 7130.0, 7810.0, 9970.0",18/02/24,Cross,Saint james,NOR,50.0,,Int,1948
1/2 finale des championnats de france de cross-country,"3575.0, 4285.0, 5300.0, 6720.0, 7735.0, 9815.0",18/02/24,Cross,Aix les bains,ARA,73.0,,Int,1556
1/2 finale des chpts de france de cross,"2973.0, 4052.0, 4676.0, 5637.0, 6925.0, 8001.0, 9707.0",18/02/24,Cross,Carcassonne,OCC,11.0,,Int,1327
1/2 finales lana,"3820.0, 4220.0, 5020.0, 5420.0, 7040.0, 7860.0, 9880.0",18/02/24,Cross,Cherves richemont,N-A,16.0,,Int,1217
1/4 de finale des championnats de france u14-u16-u18-u20,"2640.0, 3090.0, 3520.0, 3820.0, 4700.0, 5570.0, 6750.0, 8800.0",04/02/24,Cross,Pontchateau,P-L,44.0,,Rég,2162
1/4 de finale zone sud,"2510.0, 3150.0, 3850.0, 4490.0, 5890.0, 6530.0, 7230.0, 8570.0",28/01/24,Cross,Capbreton,N-A,40.0,,Rég,1124
1/4 de finales zone nord,"2500.0, 3090.0, 3580.0, 3870.0, 4560.0, 4950.0, 5640.0, 6330.0, 7310.0, 8680.0",28/01/24,Cross,Montendre,N-A,17.0,,Rég,944
1/4 finale des championnats de france de cross-country,"2840.0, 3000.0, 3465.0, 4105.0, 4695.0, 4965.0, 6700.0, 7770.0, 8950.0, 9850.0",04/02/24,Cross,Le mesnil sous jumieges,NOR,76.0,,Rég,1581
1/4 finale des chpts de france de cross zone est,"2840.0, 3220.0, 3880.0, 4920.0, 6480.0, 7900.0, 9080.0",28/01/24,Cross,Ales,OCC,30.0,Cham,Rég,656
1/4 finale des chpts de france de cross zone ouest,"2800.0, 3300.0, 4000.0, 5100.0, 6600.0, 7500.0, 9300.0",28/01/24,Cross,Lau balagnas,OCC,65.0,Cham,Rég,745
19eme cross de la cigogne,"0.0, 1500.0, 2000.0, 4000.0, 5000.0",20/10/24,Cross,Le lamentin,MAR,972.0,Meet,Rég,239
20ème cross rené arcuset,"0.0, 1000.0, 2420.0, 3510.0, 4600.0, 6020.0, 8530.0",17/11/24,Cross,Montauban,OCC,82.0,Meet,Nat,744
2nd cross de l'as fac,"1500.0, 2500.0, 3200.0, 3500.0, 4500.0",17/11/24,Cross,Le francois,MAR,972.0,Meet,Rég,228
